#This is the voltage data of a discharging 9V battery.
4.76837158203125e-06,9.75
300.1002125740051,8.69
600.1869523525238,8.61
900.261335849762,8.48
1200.3616251945496,8.4
1500.4212853908539,8.36
1800.5215668678284,8.28
2100.621855735779,8.2
2400.671288728714,8.16
2700.771587371826,8.12
3000.8718774318695,8.08
3300.921289205551,8.08
3600.938103914261,8.03
3901.038388967514,7.99
4201.138671875,7.91
4501.171276092529,7.91
4801.231393098831,7.87
5101.331692934036,7.83
5401.431976318359,7.83
5701.50487112999,7.79
6001.581295251846,7.79
6301.661278963089,7.75
6601.671297550201,7.71
6901.771583080292,7.71
7201.866410970688,7.67
7501.921395301819,7.67
7802.021675348282,7.63
8102.121973991394,7.63
8402.123319387436,7.59
8702.13321685791,7.59
9002.151320695877,7.55
9302.171295166016,7.55
9602.271579504013,7.5
9902.371891021729,7.5
10202.421289920807,7.5
10502.492819309235,7.5
10802.593114376068,7.46
11102.671276569366,7.42
11402.691278457642,7.42
11702.791279792786,7.42
12002.891567468643,7.42
12302.921284198761,7.38
12603.021567821503,7.38
12903.121855735779,7.38
13203.171283721924,7.34
13503.271569013596,7.34
13803.371879339218,7.34
14103.472168207169,7.34
14403.481289863586,7.3
14703.581580638885,7.3
15003.591311693192,7.3
15303.67141032219,7.26
15603.771701335907,7.26
15903.8719997406,7.26
16203.972297668457,7.26
16504.072590112686,7.26
16804.151299715042,7.22
17104.251580238342,7.18
17404.257062911987,7.22
17704.269973278046,7.18
18004.311670303345,7.14
18304.4119515419,7.18
18604.5122320652,7.14
18904.513025045395,7.14
19204.559960842133,7.14
19504.660271167755,7.1
19804.676588773727,7.1
20104.77143073082,7.1
20404.871683120728,7.14
20704.921278476715,7.1
21004.971298456192,7.06
21305.071607351303,7.06
21605.091284751892,7.01
21905.17129635811,7.01
22205.241286754608,7.01
22505.281301498413,7.01
22805.381597042084,7.01
23105.421293497086,7.01
23405.441275835037,6.97
23705.456772327423,6.97
24005.557056427002,6.97
24305.570207834244,6.93
24605.5812792778,6.93
24905.591282367706,6.93
25205.671284914017,6.93
25505.771574258804,6.93
25805.866475105286,6.93
26105.921481609344,6.89
26406.021767616272,6.89
26706.031320095062,6.85
27006.111305475235,6.89
27306.211589813232,6.89
27606.30748605728,6.85
27906.407777786255,6.85
28206.4714114666,6.85
28506.571697473526,6.81
28806.671989679337,6.81
29106.77227497101,6.81
29406.80130839348,6.81
29706.90159678459,6.81
30007.001880407333,6.77
30307.102164268494,6.77
30607.202451705933,6.73
30907.30273580551,6.73
31207.31197834015,6.81
31507.41220355034,6.73
31807.48298406601,6.73
32107.583312511444,6.73
32407.683604478836,6.69
32707.783910274506,6.69
33007.88418865204,6.69
33307.98443651199,6.69
33608.08462738991,6.65
33908.184920310974,6.65
34208.285203933716,6.61
34508.38547158241,6.61
34808.47141981125,6.61
35108.5717113018,6.61
35408.672001600266,6.57
35708.772278785706,6.57
36008.87141442299,6.53
36308.884190797806,6.53
36608.95139217377,6.48
36909.051677942276,6.48
37209.15199947357,6.48
37509.25227570534,6.48
37809.35256123543,6.44
38109.355773448944,6.44
38409.456053733826,6.44
38709.461352586746,6.4
39009.56164264679,6.36
39309.635989665985,6.36
39609.736288785934,6.32
39909.836577415466,6.32
40209.91127586365,6.28
40510.011586904526,6.24
40810.111889600754,6.24
41110.21213412285,6.28
41410.312374830246,6.16
41710.361308813095,6.16
42010.461596012115,6.12
42310.56187939644,6.08
42610.662167310715,6.04
42910.76244664192,6.0
43210.841309547424,5.95
43510.94158911705,5.91
43811.041884183884,5.83
44111.08985567093,5.75
44411.19013619423,5.63
44711.22034025192,3.22
