This is the data for the current drop of the battery.
Time(s), Current(A)
4.76837158203125e-06,0.04989764585465711
300.1002125740051,0.04447287615148413
600.1869523525238,0.04406345957011259
900.261335849762,0.04339815762538383
1200.3616251945496,0.042988741044012284
1500.4212853908539,0.0427840353326505
1800.5215668678284,0.04237461617195496
2100.621855735779,0.04196519959058342
2400.671288728714,0.041760491299897645
2700.771587371826,0.041555783009211866
3000.8718774318695,0.0413510747185261
3300.921289205551,0.0413510747185261
3600.938103914261,0.04109518935516888
3901.038388967514,0.04089048106448311
4201.138671875,0.04048106448311157
4501.171276092529,0.04048106448311157
4801.231393098831,0.04027635619242579
5101.331692934036,0.04007164790174002
5401.431976318359,0.04007164790174002
5701.50487112999,0.039866939611054246
6001.581295251846,0.039866939611054246
6301.661278963089,0.039662231320368474
6601.671297550201,0.0394575230296827
6901.771583080292,0.0394575230296827
7201.866410970688,0.03925281473899693
7501.921395301819,0.03925281473899693
7802.021675348282,0.03904810644831116
8102.121973991394,0.03904810644831116
8402.123319387436,0.03884339815762538
8702.13321685791,0.03884339815762538
9002.151320695877,0.03863868986693961
9302.171295166016,0.03863868986693961
9602.271579504013,0.03838280450358239
9902.371891021729,0.03838280450358239
10202.421289920807,0.03838280450358239
10502.492819309235,0.03838280450358239
10802.593114376068,0.03817809621289662
11102.671276569366,0.03797338792221085
11402.691278457642,0.03797338792221085
11702.791279792786,0.03797338792221085
12002.891567468643,0.03797338792221085
12302.921284198761,0.037768679631525075
12603.021567821503,0.037768679631525075
12903.121855735779,0.037768679631525075
13203.171283721924,0.0375639713408393
13503.271569013596,0.0375639713408393
13803.371879339218,0.0375639713408393
14103.472168207169,0.0375639713408393
14403.481289863586,0.03735926305015353
14703.581580638885,0.03735926305015353
15003.591311693192,0.03735926305015353
15303.67141032219,0.03715455475946776
15603.771701335907,0.03715455475946776
15903.8719997406,0.03715455475946776
16203.972297668457,0.03715455475946776
16504.072590112686,0.03715455475946776
16804.151299715042,0.03694984646878198
17104.251580238342,0.03674513817809621
17404.257062911987,0.03694984646878198
17704.269973278046,0.03674513817809621
18004.311670303345,0.036540429887410436
18304.4119515419,0.03674513817809621
18604.5122320652,0.036540429887410436
18904.513025045395,0.036540429887410436
19204.559960842133,0.036540429887410436
19504.660271167755,0.036335721596724664
19804.676588773727,0.036335721596724664
20104.77143073082,0.036335721596724664
20404.871683120728,0.036540429887410436
20704.921278476715,0.036335721596724664
21004.971298456192,0.03613101330603889
21305.071607351303,0.03613101330603889
21605.091284751892,0.035875127942681675
21905.17129635811,0.035875127942681675
22205.241286754608,0.035875127942681675
22505.281301498413,0.035875127942681675
22805.381597042084,0.035875127942681675
23105.421293497086,0.035875127942681675
23405.441275835037,0.035670419651995904
23705.456772327423,0.035670419651995904
24005.557056427002,0.035670419651995904
24305.570207834244,0.03546571136131013
24605.5812792778,0.03546571136131013
24905.591282367706,0.03546571136131013
25205.671284914017,0.03546571136131013
25505.771574258804,0.03546571136131013
25805.866475105286,0.03546571136131013
26105.921481609344,0.03526100307062436
26406.021767616272,0.03526100307062436
26706.031320095062,0.03505629477993859
27006.111305475235,0.03526100307062436
27306.211589813232,0.03526100307062436
27606.30748605728,0.03505629477993859
27906.407777786255,0.03505629477993859
28206.4714114666,0.03505629477993859
28506.571697473526,0.03485158648925281
28806.671989679337,0.03485158648925281
29106.77227497101,0.03485158648925281
29406.80130839348,0.03485158648925281
29706.90159678459,0.03485158648925281
30007.001880407333,0.03464687819856704
30307.102164268494,0.03464687819856704
30607.202451705933,0.03444216990788127
30907.30273580551,0.03444216990788127
31207.31197834015,0.03485158648925281
31507.41220355034,0.03444216990788127
31807.48298406601,0.03444216990788127
32107.583312511444,0.03444216990788127
32407.683604478836,0.0342374616171955
32707.783910274506,0.0342374616171955
33007.88418865204,0.0342374616171955
33307.98443651199,0.0342374616171955
33608.08462738991,0.03403275332650973
33908.184920310974,0.03403275332650973
34208.285203933716,0.03382804503582395
34508.38547158241,0.03382804503582395
34808.47141981125,0.03382804503582395
35108.5717113018,0.03382804503582395
35408.672001600266,0.03362333674513818
35708.772278785706,0.03362333674513818
36008.87141442299,0.033418628454452405
36308.884190797806,0.033418628454452405
36608.95139217377,0.03316274309109519
36909.051677942276,0.03316274309109519
37209.15199947357,0.03316274309109519
37509.25227570534,0.03316274309109519
37809.35256123543,0.032958034800409416
38109.355773448944,0.032958034800409416
38409.456053733826,0.032958034800409416
38709.461352586746,0.032753326509723645
39009.56164264679,0.03254861821903787
39309.635989665985,0.03254861821903787
39609.736288785934,0.0323439099283521
39909.836577415466,0.0323439099283521
40209.91127586365,0.03213920163766633
40510.011586904526,0.03193449334698055
40810.111889600754,0.03193449334698055
41110.21213412285,0.03213920163766633
41410.312374830246,0.031525076765609006
41710.361308813095,0.031525076765609006
42010.461596012115,0.031320368474923234
42310.56187939644,0.031115660184237462
42610.662167310715,0.030910951893551687
42910.76244664192,0.030706243602865915
43210.841309547424,0.0304503582395087
43510.94158911705,0.030245649948822926
43811.041884183884,0.029836233367451382
44111.08985567093,0.029426816786079835
44411.19013619423,0.028812691914022515
44711.22034025192,0.016479017400204708
